"EAN";"Deeplink";"Dealer item number";"Price excl. VAT";"Price incl. VAT";"VAT Prices";"Delivery time";"Manufacturer";"SKU";"Shipping cost excl. VAT";"Shipping cost incl. VAT";"VAT Shipping cost";"Number in stock";
"5709193345954";"https://www.keengardener.co.uk/char-broil-aramid-blend-cotton-griling-gloves.html?utm_source=Char+Broil+Connector";"CHAR-140-519";"24.991666666666667";"29.99";"20";"1 Day";"Char-Broil";"CHAR-140-519";"3.49";"2.91";"20";"0.0000";
"5709193365150";"https://www.keengardener.co.uk/char-broil-stainless-steel-basket.html?utm_source=Char+Broil+Connector";"CHAR-140-536";"20.241666666666667";"24.29";"20";"1 Day";"Char-Broil";"CHAR-140-536";"3.49";"2.91";"20";"0.0000";
"5709193377092";"https://www.keengardener.co.uk/char-broil-3-piece-soft-grip-toolset.html?utm_source=Char+Broil+Connector";"CHAR-140-767";"29.158333333333335";"34.99";"20";"1 Day";"Char-Broil";"CHAR-140-767";"3.49";"2.91";"20";"0.0000";
"5709193343158";"https://www.keengardener.co.uk/char-broil-the-big-easy-bunk-bed-basket.html?utm_source=Char+Broil+Connector";"CHAR-140-697";"11.241666666666667";"13.49";"20";"1 Day";"Char-Broil";"CHAR-140-697";"3.49";"2.91";"20";"0.0000";
"5709193359388";"https://www.keengardener.co.uk/char-broil-gear-trax-magnet.html?utm_source=Char+Broil+Connector";"CHAR-140-760";"18.325";"21.99";"20";"1 Day";"Char-Broil";"CHAR-140-760";"3.49";"2.91";"20";"0.0000";
"5709193367192";"https://www.keengardener.co.uk/char-broil-the-big-easy-grease-tray.html?utm_source=Char+Broil+Connector";"CHAR-140-762";"16.491666666666667";"19.79";"20";"1 Day";"Char-Broil";"CHAR-140-762";"3.49";"2.91";"20";"0.0000";
"5709193823001";"https://www.keengardener.co.uk/char-broil-performance-340b-tru-infrared-gas-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-140-743";"299.9916666666667";"359.99";"20";"1 Day";"Char-Broil";"CHAR-140-743";"0.00";"0.00";"20";"0.0000";
"5709193822004";"https://www.keengardener.co.uk/char-broil-performance-330b-tru-infrared-gas-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-140-742";"333.32500000000004";"399.99";"20";"1 Day";"Char-Broil";"CHAR-140-742";"0.00";"0.00";"20";"0.0000";
"5709193821007";"https://www.keengardener.co.uk/char-broil-performance-220b-tru-infrared-gas-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-140-740";"266.65833333333336";"319.99";"20";"1 Day";"Char-Broil";"CHAR-140-740";"0.00";"0.00";"20";"0.0000";
"5709193840213";"https://www.keengardener.co.uk/char-broil-convective-210b-gas-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-140-840";"206.25";"247.5";"20";"1 Day";"Char-Broil";"CHAR-140-840";"0.00";"0.00";"20";"13.0000";
